,SMILES
380,c1scc2c1C=C(S2(=O)=O)C=C
381,c1sc(c2c1[C@H](OC)CCC2)C=C
382,c1sc(c2c1[C@H](N)CC[C@H]2OC)
383,c1cscc1C(=O)O
384,c1cc2c(s1)c1c(c(=O)[nH]c2=O)cc(s1)
385,c1sc(c2c1[nH]c(=S)[nH]2)C=C
386,c1sc(c2c1nc(OCC)c(CN)n2)
387,c1c(OCC)cc(CC)c(OCC)c1C=C
388,c1sc(c2c1CC[C@@H](C=O)C2)C=C
389,c1oc(nn1)C=C
390,c1nc2c(c(=O)c3c2ncc3)c1C=C
391,c1sc(c(c1OC)C(F)(F)F)
392,N1[C@H]2CSC[C@H]2N(S1)C=C
393,c1sc(c2c1CC(=O)C(=O)C2)C=C
394,c1sc(c2c1cc(C(C)(C)C)cc2)C=C
395,c1c(OC)c(ccc1)
396,n1c(C)cc(c1C=C)C=C
397,c1SCSc1CC
398,c1c2c(=O)n(c(=O)c2cc2c1c(=O)sc2=O)C=C
399,c1c(CC)cc(s1)
400,c1sc(c2c1CC(=O)C(=O)C2)
401,c1oc(cc1C(F)(F)F)
402,c1scc2c1nc(c(NC)n2)N(C)C=C
403,c1n(C)c(=O)c2c1c(=O)n(C)c2
404,c1sc(c(c1O)C(=O)O)
405,c1scc2c1[C@@H](CC[C@H]2N(=O)=O)NC=C
406,c1c(OCC)c(OCC)c(OCC)cc1
407,c1sc(c2c1oc(=S)o2)C=C
408,c1sc(c2c1[C@H](C)CCC2)C=C
409,c1sc(c2c1ncnc2C#N)C=C
410,c(s1)cc(c(CC)c(CC)2)c1c(s3)c2cc3
411,c1sccc1/C=C(/Cc1sc(CC)cc1)C=C
412,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2C#N)
413,C1=C2C(OC1=O)c1c(cc(O)o1)C=C2
414,C1=CC=C(C1=O)C=C
415,c(s1)cc(c(CC)c(CC)2)c1c(s3)c2cc3C=C
416,C#CC#C
417,c1sc(c2c1ocn2)C=C
418,c1c2cccc(c2cs1)
419,c(s1)c2scnc2c1C=C
420,c1c2c(nccn2)c(c2c1nccn2)C=C
421,c1sc(c2c1nc1c3cccnc3c3ncccc3c1n2)C=C
422,c1cc(N(=O)=O)c(cc1)C=C
423,c1sc(c2c1nc(OCC)c(OCC)n2)C=C
424,c1sc(c2c1c(C)ccc2C)
425,C1SC=C1C(=O)OC
426,c1oc2CCc2c1
427,c(s1)cc(c(=O)2)c1c(s3)c2cc3C=C
428,c1sc2c(c1)C(C)(C)c1c2sc(c1)
429,c1sc(c2c1SC(=O)CC(=O)O2)
430,c1sccc1S
431,c1[nH]c(c2c1nccn2)
432,c1c(ncc2c1non2)
433,c1scc2c1sc1c2csc1C=C
434,c1sc(c2c1SCC(=O)CS2)C=C
435,c1c(CC)cc(s1)C=C
436,c1sc(c2c1C[C@H](N(=O)=O)[C@@H](N(=O)=O)C2)
437,c1ccc(c2c1cccn2)C=C
438,c(s1)c2ncsc2c1C=C
439,c1sc(c(c1F)F)C=C
440,c1scc2c1c(c(cc2)O)
441,c1scc(C(=O)OC)c1C=C
442,c1sc(c2c1sc(C(=O)CC)c2)
443,c1sc(c2c1cc(F)c(F)c2)
444,N(CC)c1cscc1N(CC)C=C
445,c1sc(c2c1[C@H](C)CC[C@H]2C)
446,c1cc2c(s1)c1c(C2)cc(s1)C=C
